Q9ERY9	MGI:1915571
Q9CXL3	MGI:1920462
Q8BT18	MGI:1914669
Q8BGD0	MGI:1917937
B2RV46	MGI:1918036
Q9D659	MGI:1921298
Q3UJC8	MGI:1914642
Q0VAX3	MGI:2687041
Q80Y73	MGI:1921013
Q9DBN4	MGI:1921162
Q9D5Y0	MGI:1918071
Q8C0X8	MGI:2685851
Q9D5W8	MGI:1918170
Q9CR55	MGI:1913964
Q9CR34	MGI:1914680
Q9D5Q8	MGI:1918191
Q7TT23	MGI:1923029
A6H6Q4	MGI:1921072
Q5NC83	MGI:1921112
Q3V0Y1	MGI:3588286
Q3UK37	MGI:2144738
Q8BHN7	MGI:1921197
Q6DIA7	MGI:1921916
Q9CTN5	MGI:1923051
Q6P2K3	MGI:1926154
Q3TTL0	MGI:1914859
Q80UB0	MGI:1922258
Q8CB14	MGI:1922045
Q5SPV6	MGI:1922337
Q8K2Q9	MGI:1918903
Q9CPZ3	MGI:1914896
Q24JP4	MGI:1914842
Q8CC96	MGI:1925441
Q9D4W2	MGI:1922561
E9QMW4	MGI:1926059
Q8CDS7	MGI:1922578
Q8BGJ3	MGI:1922554
A2AUQ7	MGI:1923109
Q8C3I9	MGI:1923155
Q80ZQ3	MGI:1915000
Q3UUX7	MGI:1923189
Q8CDN1	MGI:2685917
Q91V76	MGI:1918234
A6H690	MGI:3045319
Q8K2W9	MGI:1921609
Q810A5	MGI:1921606
Q8C0T1	MGI:2441689
A2AAE1	MGI:2444631
Q9D4G1	MGI:1921637
Q8C5U4	MGI:1918293
Q9D4A5	MGI:1918296
Q8BPC6	MGI:2142174
Q9D494	MGI:1921651
Q80Y39	MGI:1914015
Q9D454	MGI:1918338
Q3TTI8	MGI:1918399
Q497N7	MGI:1914011
Q6A000	MGI:1921727
Q8R092	MGI:1914027
Q3TD16	MGI:2685590
Q3UE31	MGI:2444899
A2AFS3	MGI:1923930
Q80XI7	MGI:1918675
Q8BZE1	MGI:1918645
Q9D3J9	MGI:1918648
Q8VEA8	MGI:2442295
Q8BP99	MGI:3609248
Q9CYI0	MGI:1917841
Q9CZL2	MGI:1917867
Q7TN12	MGI:1921579
Q562D6	MGI:1922003
Q8CD60	MGI:2442108
Q8BGC1	MGI:1925127
Q9CX63	MGI:1924977
Q0VBF8	MGI:2138735
Q6DI92	MGI:2447816
Q8R239	MGI:1913920
Q8R0A7	MGI:2443793
Q8BGK9	MGI:2445137
Q80WQ4	MGI:2442328
Q9D365	MGI:1923469
Q8VII3	MGI:1925859
Q8BH50	MGI:2444951
Q8K2F3	MGI:1918730
Q8BYI8	MGI:1921775
Q8BH86	MGI:2444813
Q8BWQ6	MGI:1918767
Q6PD19	MGI:1918867
Q9D2X8	MGI:1923008
Q3UZV7	MGI:2443264
Q8BM81	MGI:2685880
Q8BHE8	MGI:1915365
Q5DTX6	MGI:2685174
Q8K201	MGI:2654705
Q7TQE7	MGI:1915533
Q8BZA9	MGI:2442752
Q66JV7	MGI:2145726
Q499E6	MGI:3041172
Q9DCB3	MGI:1915359
Q9DAE8	MGI:2441776
P06335	MGI:2442996
Q19LI2	MGI:2152878
Q5YD48	MGI:1917115
Q3UMB9	MGI:2441787
Q8CAK3	MGI:2441788
Q6GQT1	MGI:2449119
G3UWD5	MGI:2444600
Q3V1N9	MGI:2685279
Q80WR5	MGI:2140680
A3KGF9	MGI:2685199
Q67BJ4	MGI:3512453
Q8BNX7	MGI:2443020
Q3UN54	MGI:3055869
Q8C4X7	MGI:2442934
Q80TK0	MGI:2445097
Q8BZJ8	MGI:2444149
A2AG58	MGI:2685992
Q9D1Z2	MGI:1915493
Q810Q5	MGI:3034182
Q8BI29	MGI:2138143
P58742	MGI:2443767
Q9D2R0	MGI:1926144
A2A7Z8	MGI:2685281
Q99PG0	MGI:1915008
Q9WVM8	MGI:1345167
Q9D1A0	MGI:1913379
Q8R2R3	MGI:1914189
Q3UHJ0	MGI:1098687
Q8R0P4	MGI:1913523
O88816	MGI:1328365
Q9D2V5	MGI:1915545
Q811W1	MGI:2181621
Q14CH7	MGI:2681839
Q3THG9	MGI:1916934
Q8BGQ7	MGI:2384560
Q9CQF6	MGI:1914868
Q80WC9	MGI:2442517
Q99K67	MGI:1353573
Q9JKX4	MGI:1929608
Q80YE4	MGI:1197518
Q75VT8	MGI:3043001
P61922	MGI:2443582
Q5SSE9	MGI:2388707
P41233	MGI:99607
P41234	MGI:99606
Q8R420	MGI:1351617
O35600	MGI:109424
Q8K448	MGI:2386607
Q8K441	MGI:1923434
Q91V24	MGI:1351646
Q8K442	MGI:2386846
Q8K440	MGI:1351668
Q8K449	MGI:2386796
Q9JI39	MGI:1860508
Q9QY30	MGI:1351619
P21447	MGI:97570
P06795	MGI:97568
P21440	MGI:97569
B5X0E4	MGI:1924956
Q9DC29	MGI:1921354
Q61102	MGI:109533
Q9CXJ4	MGI:1351667
Q9JJ59	MGI:1861729
Q8R4P9	MGI:2386976
Q80WJ6	MGI:2441679
O35379	MGI:102676
Q8VI47	MGI:1352447
B2RX12	MGI:1923658
Q9R1X5	MGI:1351644
Q9R1S7	MGI:1351634
P70170	MGI:1352630
P48410	MGI:1349215
Q61285	MGI:1349467
P55096	MGI:1349216
O89016	MGI:1349217
P61222	MGI:1195458
Q6P542	MGI:1351658
Q99LE6	MGI:1351657
Q8K268	MGI:1351656
Q64343	MGI:107704
Q7TMS5	MGI:1347061
Q99P81	MGI:1351624
Q99PE8	MGI:1351659
Q9DBM0	MGI:1914720
Q6PE15	MGI:2442422
Q8K4F5	MGI:1916008
Q99LR1	MGI:1923442
Q80UX8	MGI:1916154
Q922Q6	MGI:1915894
Q8VCR7	MGI:1923741
Q5F2F2	MGI:1914727
Q9Z1Q2	MGI:99476
Q80YU0	MGI:3607711
Q99JW1	MGI:106388
Q7M759	MGI:1917816
Q8VCV1	MGI:1917428
Q9QZC8	MGI:1931013
Q9QXM0	MGI:1914344
Q91ZH7	MGI:2147183
Q8VD66	MGI:1915938
Q9DBL9	MGI:1914719
Q8R2Y0	MGI:1913332
Q8R0P8	MGI:1918946
Q8CBW3	MGI:104913
P62484	MGI:106913
Q8BYZ1	MGI:1913860
P00520	MGI:87859
Q4JIM5	MGI:87860
Q8K4G5	MGI:1194500
Q8BL65	MGI:2385758
Q69ZX8	MGI:2442582
P38649	MGI:2135738
Q4KML4	MGI:1920362
Q8BUZ1	MGI:2444891
Q5SSL4	MGI:107771
Q9QYL7	MGI:1353636
Q99LJ2	MGI:1933148
Q7TQI7	MGI:2139365
Q921H8	MGI:2148491
Q8VCH0	MGI:3605455
Q8BWT1	MGI:1098623
Q5SWU9	MGI:108451
E9Q4Z2	MGI:2140940
Q8K370	MGI:1919235
Q80XL6	MGI:2143169
Q9D7B6	MGI:1914198
Q8JZN5	MGI:1914272
P51174	MGI:87866
P45952	MGI:87867
Q9DBL1	MGI:1914135
Q07417	MGI:87868
P50544	MGI:895149
Q61282	MGI:99602
Q8K2H4	MGI:2388270
Q6ZQK5	MGI:1925868
Q8QZT1	MGI:87870
Q8CAY6	MGI:87871
Q8BMP6	MGI:2181074
Q5XG73	MGI:1921409
Q9D061	MGI:1919732
Q9D258	MGI:1925495
A2AIG8	MGI:1919717
Q3UX83	MGI:3584519
Q5EE38	MGI:87873
Q8R0I0	MGI:1917258
P09470	MGI:87874
Q8R4X1	MGI:2181962
Q8VD53	MGI:1920932
Q9D099	MGI:1913440
P21836	MGI:87876
Q9JIX8	MGI:1891824
Q9QUI6	MGI:1097689
O08707	MGI:1891697
P56485	MGI:109562
Q924I3	MGI:2181676
Q91V92	MGI:103251
Q8R519	MGI:2386323
Q8BQU3	MGI:1913288
A2AKK5	MGI:2140197
Q8BGG9	MGI:2444345
P28271	MGI:87879
Q99KI0	MGI:87880
Q32MW3	MGI:1928940
Q8VHQ9	MGI:1913736
Q9DBK0	MGI:1921406
Q9CQR4	MGI:1914084
O55137	MGI:1349396
Q9QYR9	MGI:2159605
Q9QYR7	MGI:2159619
Q8BWN8	MGI:2159621
Q6Q2Z6	MGI:2384969
Q32Q92	MGI:1921287
Q91V12	MGI:1917275
P58137	MGI:2158201
Q9R0X4	MGI:1928939
Q9R0H0	MGI:1330812
Q9QXD1	MGI:1934852
Q9EPL9	MGI:1933156
Q9DBS4	MGI:1921371
Q9D358	MGI:87881
P24638	MGI:87882
Q05117	MGI:87883
Q8BP40	MGI:1931010
Q8CE08	MGI:1928480
Q3V140	MGI:1859515
P23578	MGI:87884
P50289	MGI:104590
Q99PU5	MGI:2385656
Q2XU92	MGI:3587728
Q8VCW8	MGI:2388287
Q3URE1	MGI:2182591
P41216	MGI:102797
Q9CZW4	MGI:1921455
Q9QUJ7	MGI:1354713
Q8JZR0	MGI:1919129
Q91WC3	MGI:894291
Q91VA0	MGI:2152200
Q8K0L3	MGI:2385289
Q3UNX5	MGI:99538
Q80W40	MGI:2681844
Q8BGA8	MGI:2444086
Q99NB1	MGI:1915988
Q9QXG4	MGI:1890410
Q14DH7	MGI:2685720
P68134	MGI:87902
P62737	MGI:87909
Q8BFZ3	MGI:2444552
P60710	MGI:87904
P68033	MGI:87905
P63260	MGI:87906
P63268	MGI:104589
A2AKE7	MGI:1917612
Q9Z2N8	MGI:1861453
Q99MR0	MGI:1933548
Q9QY84	MGI:1343051
Q9QY83	MGI:1343053
Q8CG27	MGI:1916731
Q7TPR4	MGI:2137706
Q9JI91	MGI:109192
O88990	MGI:99678
P57780	MGI:1890773
Q9QZB7	MGI:1891654
P61164	MGI:1858964
Q8R5C5	MGI:1917446
P61161	MGI:1913963
Q641P0	MGI:2661120
Q99JY9	MGI:1921367
Q80US4	MGI:1924748
Q9D864	MGI:1914269
Q8R2S9	MGI:1860775
Q9D9J3	MGI:1920610
Q9D9L5	MGI:1920603
Q8BXF8	MGI:1923902
Q61271	MGI:1338944
Q8K348	MGI:2661081
P37172	MGI:87911
P27038	MGI:102806
P27040	MGI:87912
Q61288	MGI:1338946
Q99JW2	MGI:87913
Q91XE4	MGI:1918920
P56376	MGI:1913454
P56375	MGI:1922822
Q5SUE7	MGI:103258
Q9D5P4	MGI:1923023
Q80SY6	MGI:1923144
O35598	MGI:109548
Q9R1V4	MGI:1098667
Q61824	MGI:105378
O88839	MGI:1333882
Q9Z0F8	MGI:1096335
Q9R157	MGI:105986
O35674	MGI:105377
Q60813	MGI:2429504
Q8R534	MGI:2429506
Q9JI76	MGI:1861229
Q9R1V6	MGI:1340046
Q9R1V7	MGI:1345162
Q9R160	MGI:105984
Q9R159	MGI:1345157
Q9R158	MGI:105985
Q9JLN6	MGI:105988
Q811Q4	MGI:2676326
Q60718	MGI:1340894
Q8K410	MGI:2653822
Q923W9	MGI:1341813
Q3TTE0	MGI:104730
O35227	MGI:107247
Q05910	MGI:107825
Q61072	MGI:105376
Q9R0X2	MGI:1917650
P58459	MGI:2449112
Q811B3	MGI:2146046
Q769J6	MGI:2685556
P59384	MGI:2449569
Q69Z28	MGI:2429637
Q4VC17	MGI:2442600
P59509	MGI:2442875
P97857	MGI:109249
P59511	MGI:2660628
Q8C9W3	MGI:1347356
Q8BNJ2	MGI:1339949
Q9R001	MGI:1346321
Q68SA9	MGI:1347346
P57110	MGI:1353468
Q8BLI0	MGI:1924989
Q7TSK7	MGI:1925044
Q80T21	MGI:2389008
P03958	MGI:87916
Q8R2V5	MGI:2663075
Q91ZS8	MGI:891999
Q9JI20	MGI:2151118
Q99MU3	MGI:1889575
Q9JHI2	MGI:1353631
Q6P6J0	MGI:1914007
Q6PAT0	MGI:1924344
Q9D0L4	MGI:1919363
Q6NSR3	MGI:1889336
Q60936	MGI:1914676
Q566J8	MGI:1924139
Q80V03	MGI:2679274
Q8C0T9	MGI:2660854
O88444	MGI:99677
Q80TL1	MGI:99676
Q8VHH7	MGI:99675
Q91WF3	MGI:99674
P84309	MGI:99673
Q01341	MGI:87917
P51829	MGI:102891
P97490	MGI:1341110
P51830	MGI:108450
O70176	MGI:105094
P70205	MGI:108449
Q9QYC0	MGI:87918
Q9QYB8	MGI:87919
Q9QYB5	MGI:1351615
G3UZ78	MGI:3605549
Q8C4G9	MGI:1277167
Q7TT36	MGI:1917943
Q8CGM1	MGI:2451244
Q80T32	MGI:3041203
Q61549	MGI:106912
Q8VEC3	MGI:1924846
E9Q4J9	MGI:2182728
Q58Y75	MGI:2685887
Q9D2L6	MGI:1925499
G5E8Q8	MGI:2182928
B7ZCC9	MGI:2685213
Q3V3Z3	MGI:2685955
Q8BM96	MGI:2441732
Q8JZZ7	MGI:2139714
P00329	MGI:87921
Q9QYY9	MGI:1349472
P28474	MGI:87929
Q64437	MGI:87926
Q8R0N6	MGI:1923437
Q99JT9	MGI:2144929
Q8R400	MGI:2675492
Q60994	MGI:106675
Q91VH1	MGI:1919924
Q8BQS5	MGI:93830
P55264	MGI:87930
Q7TNK8	MGI:2675256
P97297	MGI:108058
Q8CHC8	MGI:2448562
Q9Z103	MGI:1338758
Q6PDY2	MGI:2685083
Q60612	MGI:99401
Q60613	MGI:99402
Q60614	MGI:99403
Q61618	MGI:104847
Q8VDL4	MGI:1919391
Q8BGK2	MGI:2442168
Q8CG72	MGI:2140364
P54923	MGI:1098234
Q99KS6	MGI:1913608
P97718	MGI:104773
P97717	MGI:104774
P97714	MGI:106673
Q01338	MGI:87934
P30545	MGI:87935
Q01337	MGI:87936
P34971	MGI:87937
P18762	MGI:87938
P25962	MGI:87939
Q99MK8	MGI:87940
Q3UYH7	MGI:87941
Q9JKV1	MGI:1929289
P54822	MGI:103202
P28650	MGI:87947
P46664	MGI:87948
Q8C138	MGI:1924596
Q640N1	MGI:1197012
Q9Z248	MGI:1338038
Q9CZI9	MGI:1915298
P63002	MGI:95806
Q7TSN2	MGI:2153249
Q8K3V7	MGI:2667167
Q8BZI0	MGI:2147199
Q5DTU0	MGI:2147658
Q80YS6	MGI:1917542
O88573	MGI:1100819
O55112	MGI:1202294
P51827	MGI:106927
Q9ESC8	MGI:2136171
Q920A7	MGI:1928277
Q8JZQ2	MGI:1916847
Q8K4H1	MGI:2448704
O89020	MGI:2429409
P02772	MGI:87951
Q80WT5	MGI:1923012
Q8BXK8	MGI:2653690
Q3UHD9	MGI:3580016
Q8VHH5	MGI:2183446
Q64191	MGI:104873
Q09M05	MGI:3646469
Q8CDK2	MGI:2443254
Q8CDP0	MGI:1923473
Q09LZ8	MGI:1918244
Q09M02	MGI:2441745
Q62151	MGI:893592
Q8K2K6	MGI:1333754
Q80WC7	MGI:2443267
Q7TN31	MGI:1913799
Q9ESW4	MGI:1917173
A2AS89	MGI:1923236
Q8BS35	MGI:2442495
Q8CJG1	MGI:2446630
Q8CJG0	MGI:2446632
Q8CJF9	MGI:2446634
Q8CJF8	MGI:1924100
O35083	MGI:1932075
Q8K3K7	MGI:1914762
Q9D517	MGI:1336186
Q8K4X7	MGI:1915512
Q9D1E8	MGI:1196345
Q8K2C8	MGI:2142716
Q8C0N2	MGI:3603816
Q8C0I1	MGI:2443065
O88312	MGI:1344405
Q8R3W7	MGI:2685734
A2ASQ1	MGI:87961
P56473	MGI:892013
P11859	MGI:87963
Q641K1	MGI:2159437
P29754	MGI:87964
P29755	MGI:87965
P35374	MGI:87966
Q9WVK0	MGI:1339977
Q3UEG6	MGI:2146052
O35423	MGI:1329033
Q8CJF7	MGI:1915033
Q80SW1	MGI:2385184
Q68FL4	MGI:1921590
P50247	MGI:87968
Q6PAL7	MGI:2444218
Q8K3E5	MGI:87971
P30561	MGI:105043
Q8R4S2	
Q8R4S4	
Q8R4S5	
Q8R4S6	
Q8R4S7	
Q3U1U7	MGI:1333776
Q8BK64	MGI:2387603
Q8N9S3	MGI:1916133
P29699	MGI:107189
Q9CY02	MGI:2158492
Q8BZB3	MGI:2142980
Q6PDI5	MGI:2140220
Q8VCV9	MGI:2143575
Q8R043	MGI:2146839
Q3TTJ4	MGI:2142538
Q69ZQ1	MGI:2140300
Q8C708	MGI:2141979
Q32M26	MGI:2143099
Q922M7	MGI:2138299
Q91Z58	MGI:2146908
Q8VD62	MGI:2147598
Q05AH6	MGI:2147611
Q9WVE0	MGI:1342279
Q8C4Q6	MGI:1919737
Q9EQX4	MGI:1919598
O70200	MGI:1343098
Q9Z0X1	MGI:1349419
Q8BUE4	MGI:1918611
Q3TY86	MGI:1919418
Q9D8B1	MGI:1913503
Q91VJ1	MGI:2686159
P31230	MGI:102774
Q8R010	MGI:2385237
Q924K1	MGI:2148800
O08915	MGI:109622
Q9Z0E3	MGI:1338803
A2ALI5	MGI:2685419
Q91XC0	MGI:1341886
P0C8B4	MGI:4845848
Q0VBV7	MGI:2680221
Q9R0Y5	MGI:87977
Q9WTP6	MGI:87978
Q9WTP7	MGI:1860835
Q9WUR9	MGI:87979
Q920P5	MGI:2677491
Q8VCP8	MGI:5510732
Q9D2H2	MGI:1926051
Q32M07	MGI:1916120
O88845	MGI:1890218
Q9WTQ5	MGI:1932576
A2A3V1	MGI:2443758
O08715	MGI:104729
O54931	MGI:1306795
O88987	MGI:1341149
Q60662	MGI:102794
D3YVF0	MGI:2685104
O55074	MGI:1859150
Q7TN79	
Q9R0L7	MGI:1860606
Q9DBR0	MGI:1928488
Q70FJ1	MGI:2178217
Q9JJR5	MGI:3041226
Q99LF1	MGI:1915300
B1AXD8	MGI:1889364
Q80VW7	MGI:2140340
P24822	MGI:87984
Q9JII6	MGI:1929955
P45376	MGI:1353494
P21300	MGI:101918
P45377	MGI:107673
Q8VC28	MGI:1351662
Q8K023	MGI:2145420
Q91WR5	MGI:1924587
P70694	MGI:1933427
Q8VCX1	MGI:2384785
Q9DCT1	MGI:1914758
Q8CG76	MGI:107796
P31750	MGI:87986
Q9D1F4	MGI:1914855
Q60823	MGI:104874
Q9WUA6	MGI:1345147
Q64362	MGI:3693832
P10518	MGI:96853
Q8VC19	MGI:87989
P08680	MGI:87990
P07724	MGI:87991
Q61490	MGI:1313266
Q571I9	MGI:1916998
Q9Z110	MGI:1888908
P24549	MGI:1353450
Q62148	MGI:107928
Q9JHW9	MGI:1861722
O35945	MGI:1347050
Q9CZS1	MGI:1919785
Q8R0Y6	MGI:1340024
Q8K009	MGI:2444680
P47738	MGI:99600
P47739	MGI:1353451
P47740	MGI:1353452
Q80VQ0	MGI:1914939
Q8CHT0	MGI:2443883
Q8BWF0	MGI:2441982
Q9EQ20	MGI:1915077
Q9DBF1	MGI:108186
Q8BH00	MGI:2653900
Q9JLJ2	MGI:1861622
P05064	MGI:87994
Q91Y97	MGI:87995
P05063	MGI:101863
Q3UGP8	MGI:2146159
Q3TZM9	MGI:2142632
Q8VDB2	MGI:2385025
Q9D8C3	MGI:1914824
Q9D081	MGI:1914039
Q921Q3	MGI:2384774
Q9DBE8	MGI:1914731
Q8K2A8	MGI:1098592
Q9DB25	MGI:1913498
Q3TAE8	MGI:2444031
Q6P8H8	MGI:2141959
Q8VDI9	MGI:1924753
P0CB42	MGI:2384034
Q6P6J4	MGI:2141032
Q8K1E6	MGI:1916363
Q9D8F1	MGI:1919291
Q3TSG4	MGI:2144489
Q8K2U2	MGI:2142037
Q9D6Z0	MGI:1913650
Q80Y20	MGI:1914917
P97793	MGI:103305
Q9JHX6	MGI:2136971
Q8K4E0	MGI:1934606
O70582	MGI:1274782
P55249	MGI:1274790
P39655	MGI:87998
P39654	MGI:87997
P30355	MGI:107505
P48999	MGI:87999
O35936	MGI:1098228
Q9WV07	MGI:1345140
Q9CXB8	MGI:1918731
Q91ZB0	MGI:2449492
Q924C5	MGI:2151224
P09242	MGI:87983
P24823	MGI:108009
Q60I26	MGI:2447532
Q8BVM7	MGI:1918359
Q920R0	MGI:1921268
Q8C8B0	MGI:104621
O70137	MGI:1277097
O35137	MGI:108359
Q9JJW6	MGI:1913144
O08583	MGI:1341044
O09174	MGI:1098273
O55189	MGI:104655
Q07456	MGI:88002
A2AH22	MGI:2443564
P0DMN7	MGI:88004
D3Z6H8	MGI:1333111
P82185	
Q9DBA8	MGI:1919011
Q8JZV7	MGI:2443978
P63277	MGI:88005
Q7TS75	MGI:1919595
Q8CCJ4	MGI:1919375
Q6NS69	MGI:3026939
Q9R049	MGI:1345634
P27106	MGI:88006
Q8K592	MGI:105062
Q80UL9	MGI:2685484
Q80ZD8	MGI:2653612
Q80ZD9	MGI:2145995
Q8C2S7	MGI:2444854
Q8JZZ6	MGI:2442711
Q9JHT5	MGI:1860206
Q99JB7	MGI:1934943
Q9D4H4	MGI:1922973
Q8K371	MGI:1929286
Q8VHG2	MGI:108440
Q3V1D3	MGI:88015
Q9DBT5	MGI:88016
O08739	MGI:1096344
Q7TQF7	MGI:103574
Q9D3J8	MGI:1918671
Q8CFA2	MGI:3646700
P00687	MGI:88019
P00688	MGI:88020
Q8BVF9	MGI:2442258
Q400C8	MGI:104837
Q8K2H6	MGI:1916249
Q9CPX9	MGI:1913406
Q8R034	MGI:1916260
P60007	MGI:1922680
Q9CPV2	MGI:1289325
P53995	MGI:103097
Q8BZQ7	MGI:2139135
Q91W96	MGI:1098673
Q8BTZ4	MGI:1929722
Q9WVM3	MGI:1929711
Q64438	MGI:104984
P97802	MGI:1201793
Q3TMQ6	MGI:2656551
Q8VCU0	MGI:1915987
Q8K1C0	MGI:1196310
P21570	MGI:88022
O08538	MGI:108448
O35608	MGI:1202890
Q9WVH6	MGI:1336887
Q640P2	MGI:1919963
Q9R045	MGI:1347002
Q9R182	MGI:1353627
Q9Z1P8	MGI:1888999
Q8R0Z6	MGI:1917976
Q8R1Q3	MGI:3605801
Q02357	MGI:88024
Q8C8R3	MGI:88025
G5E8K5	MGI:88026
A2RT91	MGI:2442559
Q14DN9	MGI:2444730
Q9D2J7	MGI:2441685
Q810B6	MGI:1337008
Q6ZPS6	MGI:1918047
Q8BZ25	MGI:3045301
Q6P1H6	MGI:1261856
Q8C0W1	MGI:3045261
Q3TPE9	MGI:2144755
Q9JHZ2	MGI:3045421
Q99PE2	MGI:1915808
Q99LW0	MGI:1921840
Q80UP5	MGI:1915670
Q5F259	MGI:2144501
